"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="3629984005727679360",="3629984005727679360","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001126481414241977","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:49:03","2023-11-14 12:49:11",="748197775574","null","null","","null","2023-11-15 13:29:03","No:773255412115627","申通快递","否","null","null"
="2018503131306010576",="2018503131306010576","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易关闭","C5001黑+C5002蓝+008银",="2023111422001197061415609031","68.00","68.00","退款成功","68.00","2023-11-14 12:48:58","2023-11-14 12:49:05",="747909092389","null","null","","null","null","null","null","否","null","null"
="3630239751898881105",="3630239751898881105","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易关闭","C5001黑+C5002蓝+008银",="2023111422001195901413157258","68.00","68.00","退款成功","68.00","2023-11-14 12:48:52","2023-11-14 12:48:59",="747909092389","null","null","","null","null","null","null","否","null","null"
="3630102914321030105",="3630102914321030105","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易成功","C5001黑+C5002蓝+008银",="2023111422001126881456994950","68.00","68.00","没有申请退款","无退款申请","2023-11-14 12:48:49","2023-11-14 12:49:01",="747909092389","null","null","","null","2023-11-16 09:51:03","No:773255464736558","申通快递","否","null","null"
="3630255555021830344",="3630255555021830344","【老板娘美林】慕江南-丝巾-四边须大千鸟","9999.00","1","MJN033红色","颜色分类：红色","null","null","交易关闭","MJN033红色",="2023111422001158411433319044","159.00","159.00","退款成功","159.00","2023-11-14 12:48:43","2023-11-14 12:48:48",="748104822324","null","null","","null","null","null","null","否","null","null"
="2018126496110220892",="2018126496110220892","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001160441414956608","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:48:38","2023-11-14 12:48:40",="748197775574","null","null","","null","2023-11-15 13:29:03","No:773255412115615","申通快递","否","null","null"
="3629980297984830344",="3629980297984830344","【老板娘美林】慕江南-丝巾-四边须大千鸟","9999.00","1","MJN033黑色","颜色分类：黑色","null","null","交易关闭","MJN033黑色",="2023111422001158411436944153","159.00","159.00","退款成功","159.00","2023-11-14 12:48:17","2023-11-14 12:48:22",="748104822324","null","null","","null","null","null","null","否","null","null"
="2018758586511095994",="2018758586510095994","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001男款Z","颜色分类：男袜[适合39-45鞋码];尺码：无规格","null","null","交易成功","HZQS001男款Z",="2023111422001142471440875698","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:48:10","2023-11-14 12:48:22",="748197775574","null","null","","null","2023-11-15 13:11:43","No:773255412115603","申通快递","否","null","null"
="2018758586512095994",="2018758586510095994","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001142471440875698","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:48:10","2023-11-14 12:48:22",="748197775574","null","null","","null","2023-11-15 13:11:43","No:773255412115603","申通快递","否","null","null"
="2018759342151042579",="2018759342151042579","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易关闭","HZQS001女款Z",="2023111422001107021413391052","69.00","69.00","退款成功","69.00","2023-11-14 12:47:55","2023-11-14 12:47:58",="748197775574","null","null","","null","null","null","null","否","null","null"
="2018501043686349595",="2018501043686349595","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001166781446074430","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:47:40","2023-11-14 12:47:46",="748197775574","null","null","","null","2023-11-16 09:56:41","No:773255435702265","申通快递","否","null","null"
="3629992717135196351",="3629992717135196351","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易成功","C5001黑+C5002蓝+008银",="2023111422001139621453251814","68.00","68.00","没有申请退款","无退款申请","2023-11-14 12:47:19","2023-11-14 12:47:26",="747909092389","null","null","","null","2023-11-16 09:52:11","No:773255435702253","申通快递","否","null","null"
="2018778025154978381",="2018778025154978381","【老板娘美林】慕江南-丝巾-孤品8589","9999.00","1","孤品8589","颜色分类：孤品8589","null","null","交易成功","孤品8589",="2023111422001196131432431856","199.00","199.00","没有申请退款","无退款申请","2023-11-14 12:47:11","2023-11-14 17:09:50",="748763562448","null","null","","null","2023-11-15 15:42:49","No:773255412192624","申通快递","否","null","null"
="3630092150762819303",="3630092150762819303","【老板娘美林】慕江南-袜子-羊绒袜","9999.00","1","HZQS001女款Z","颜色分类：女袜[适合35-40鞋码];尺码：无规格","null","null","交易成功","HZQS001女款Z",="2023111422001194791404052078","69.00","69.00","没有申请退款","无退款申请","2023-11-14 12:47:04","2023-11-14 12:47:09",="748197775574","null","null","","null","2023-11-15 13:29:06","No:773255412115585","申通快递","否","null","null"
="3629978353832361036",="3629978353832361036","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易成功","C5001黑+C5002蓝+008银",="2023111422001139761456538696","68.00","68.00","没有申请退款","无退款申请","2023-11-14 12:46:58","2023-11-14 12:47:00",="747909092389","null","null","","null","2023-11-16 09:52:45","No:773255435702241","申通快递","否","null","null"
="2018757974189030187",="2018757974189030187","【老板娘美林】长51  慕江南-针织衫-奢级珍藏","9999.00","1","HFQZ001草绿L","颜色分类：草绿;尺码：L/XL[120-145斤胸104]","null","null","交易关闭","HFQZ001草绿L",="2023111422001159821452807020","1680.00","1680.00","退款成功","1680.00","2023-11-14 12:46:29","2023-11-14 12:48:13",="739140684824","null","null","(收) HFQZ001草绿L*1#","null","2023-11-15 14:43:58","No:773255412115597","申通快递","否","null","null"
="3630246735326549439",="3630246735326549439","【老板娘美林】长97  慕江南-卫裤-美式优雅","9999.00","1","HFDK022绿色L","颜色分类：绿色[主播推荐];尺寸：L[115-135斤腰75.5]","null","null","交易关闭","HFDK022绿色L",="2023111422001138061429924880","239.00","239.00","退款成功","239.00","2023-11-14 12:46:16","2023-11-14 12:46:21",="748097154659","null","null","","null","null","null","null","否","null","null"
="2018123436725938692",="2018123436725938692","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易关闭","C5001黑+C5002蓝+008银",="2023111422001120341436774179","68.00","68.00","退款成功","68.00","2023-11-14 12:46:16","2023-11-14 12:46:25",="747909092389","null","null","","null","null","null","null","否","null","null"
="3629587932608549439",="3629587932608549439","【老板娘美林】长97  慕江南-卫裤-美式优雅","9999.00","1","HFDK022岩灰L","颜色分类：岩灰[主播推荐];尺寸：L[115-135斤腰75.5]","null","null","交易关闭","HFDK022岩灰L",="2023111422001138061428320872","239.00","239.00","退款成功","239.00","2023-11-14 12:45:56","2023-11-14 12:46:00",="748097154659","null","null","","null","null","null","null","否","null","null"
="2018124192344938692",="2018124192344938692","【老板娘美林】慕江南-围巾-飞马礼包","9999.00","1","C5001黑+C5002蓝+008银","颜色分类：飞马传说+双双+雪花胸针","null","null","交易成功","C5001黑+C5002蓝+008银",="2023111422001120341427002768","68.00","68.00","没有申请退款","无退款申请","2023-11-14 12:45:55","2023-11-14 12:46:06",="747909092389","null","null","","null","2023-11-16 09:58:45","No:773255434796767","申通快递","否","null","null"
="3630095174499863023",="3630095174499863023","【老板娘美林&可做大衣伴侣】长83.5  慕江南-羽绒服-冬日暖阳","9999.00","1","HFDY001米色M","颜色：白色;尺码：S/M[90-120斤胸126.5]","null","null","交易成功","HFDY001米色M",="2023111422001107151454030661","988.00","988.00","没有申请退款","无退款申请","2023-11-14 12:45:49","2023-11-14 12:45:53",="747856340867","null","null","","null","2023-11-19 14:38:33","No:773256166887014","申通快递","否","null","null"
